Experiment,Num Runs,Mean Cost,Std,Min Cost,Max Cost,Mean Runtime (s)
A: Basic ES,5,0.045381890771312786,0.10147699123505766,1.6403589597757673e-10,0.22690945121430417,0.1312999497866258
B: mu:lam Sweep,15,0.03592601257256784,0.07670215315723368,5.922373702560435e-11,0.22690945121430417,0.14166236092957357
C: Individual sigma,5,1.4975398698879872e-10,9.47521276787918e-11,5.922373702560435e-11,2.8419577802196727e-10,0.23897685820702463
D: sigma Recomb.,5,2.4462352143928e-10,2.0951456797360824e-10,1.8122392475561355e-11,5.246718615126156e-10,0.6350780167616904
E: x Recomb.,5,3.843872775632917e-10,3.7112816297448447e-10,3.313260776849347e-11,7.820943892511423e-10,0.8081744250142947
